"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.136801292E0,9.789642334E-2,2.815644836E-1,9.770931244E0
3.146815292E0,9.954299927E-2,2.847079468E-1,9.765991516E0
3.156828292E0,1.079255676E-1,2.926414490E-1,9.778415680E0
3.166842292E0,1.148112488E-1,2.865042114E-1,9.780661011E0
3.176855292E0,1.127156067E-1,2.945874023E-1,9.758357391E0
3.186868292E0,1.122665405E-1,3.056643677E-1,9.769134979E0
3.196882292E0,1.080752563E-1,3.041674805E-1,9.781409454E0
3.206895292E0,1.044827271E-1,3.056643677E-1,9.777367859E0
3.216908292E0,1.053808594E-1,2.996768188E-1,9.767488403E0
3.226922292E0,1.139131165E-1,2.942880249E-1,9.777667236E0
3.236935292E0,1.079255676E-1,2.917433167E-1,9.764794006E0
3.246948292E0,1.083746338E-1,2.848576355E-1,9.767488403E0
3.256962292E0,1.219963074E-1,3.032693481E-1,9.773625641E0
3.266975292E0,1.143621826E-1,3.167413330E-1,9.790690155E0
3.276988292E0,1.103205872E-1,2.935395813E-1,9.776769104E0
3.287002292E0,1.041833496E-1,2.950364685E-1,9.768087158E0
3.297015292E0,1.167572021E-1,2.989283752E-1,9.777517548E0
3.307028292E0,1.110690308E-1,2.938389587E-1,9.780511322E0
3.317042292E0,1.085243225E-1,2.974314880E-1,9.780062256E0
3.327055292E0,1.053808594E-1,2.818638611E-1,9.771679688E0
3.337069292E0,1.178050232E-1,2.977308655E-1,9.773775330E0
3.347082292E0,1.103205872E-1,2.921923828E-1,9.765991516E0
3.357095292E0,1.065783691E-1,3.020718384E-1,9.765392761E0
3.367109292E0,1.092727661E-1,2.957849121E-1,9.772877197E0
3.377122292E0,1.131646729E-1,3.032693481E-1,9.784253540E0
3.387135292E0,1.122665405E-1,2.963836670E-1,9.774374084E0
3.397149292E0,1.098715210E-1,2.921923828E-1,9.776469727E0
3.407162292E0,1.139131165E-1,2.939886475E-1,9.767937469E0
3.417175292E0,1.013392639E-1,2.990780640E-1,9.769584045E0
3.427189292E0,9.505233765E-2,2.966830444E-1,9.790989532E0
3.437202292E0,1.163081360E-1,3.059637451E-1,9.776320038E0
3.447215292E0,1.146615601E-1,2.938389587E-1,9.776320038E0
3.457229292E0,1.161584473E-1,3.124003601E-1,9.778565369E0
3.467242292E0,9.729766846E-2,3.107537842E-1,9.764045563E0
3.477255292E0,1.121168518E-1,2.902464294E-1,9.778715057E0
3.487269292E0,1.296304321E-1,2.829116821E-1,9.778116302E0
3.497282292E0,1.233435059E-1,2.957849121E-1,9.765692139E0
3.507296292E0,1.161584473E-1,2.929408264E-1,9.782157898E0
3.517309292E0,1.160087585E-1,2.972817993E-1,9.782157898E0
3.527322292E0,1.136137390E-1,2.990780640E-1,9.757309570E0
3.537336292E0,1.007405090E-1,2.948867798E-1,9.766440582E0
3.547349292E0,9.370513916E-2,3.040177917E-1,9.773026886E0
3.557362292E0,1.080752563E-1,3.125500488E-1,9.764794006E0
3.567376292E0,1.100212097E-1,2.956352234E-1,9.780062256E0
3.577389292E0,9.879455566E-2,2.956352234E-1,9.783205719E0
3.587402292E0,1.046324158E-1,2.942880249E-1,9.764344940E0
3.597416292E0,1.275347900E-1,2.803669739E-1,9.763147430E0
3.607429292E0,1.160087585E-1,3.002755737E-1,9.767937469E0
3.617442292E0,1.080752563E-1,3.001258850E-1,9.777816925E0
3.627456292E0,1.088237000E-1,3.028202820E-1,9.789193268E0
3.637469292E0,1.172062683E-1,2.872526550E-1,9.781858521E0
3.647482292E0,1.155596924E-1,2.938389587E-1,9.775721283E0
3.657496292E0,1.157093811E-1,2.975811768E-1,9.771679688E0
3.667509292E0,1.175056458E-1,2.962339783E-1,9.765392761E0
3.677522292E0,1.146615601E-1,3.004252625E-1,9.771979065E0
3.687536292E0,1.149609375E-1,3.038681030E-1,9.774224396E0
3.697549292E0,1.085243225E-1,2.953358459E-1,9.768985291E0
3.707563292E0,1.124162292E-1,2.960842896E-1,9.773625641E0
3.717576292E0,1.145118713E-1,2.998265076E-1,9.775870972E0
3.727589292E0,1.104702759E-1,2.974314880E-1,9.767937469E0
3.737603292E0,1.068777466E-1,2.953358459E-1,9.766590271E0
3.747616292E0,1.146615601E-1,2.899470520E-1,9.777667236E0
3.757629292E0,1.083746338E-1,2.969824219E-1,9.773625641E0
3.767643292E0,1.170565796E-1,3.029699707E-1,9.769284668E0
3.777656292E0,1.083746338E-1,3.110531616E-1,9.776769104E0
3.787669292E0,1.118174744E-1,3.017724609E-1,9.789193268E0
3.797683292E0,9.819580078E-2,2.926414490E-1,9.774972839E0
3.807696292E0,9.580078125E-2,2.950364685E-1,9.770332489E0
3.817709292E0,1.032852173E-1,2.932402039E-1,9.792486420E0
3.827723292E0,1.023870850E-1,2.984793091E-1,9.786349182E0
3.837736292E0,1.049317932E-1,2.929408264E-1,9.785151672E0
3.847749292E0,1.071771240E-1,2.998265076E-1,9.759255524E0
3.857763292E0,1.056802368E-1,2.980302429E-1,9.749675446E0
3.867776292E0,1.154100037E-1,3.022215271E-1,9.774972839E0
3.877789417E0,1.296304321E-1,2.927911377E-1,9.754465485E0
3.887803417E0,1.260379028E-1,2.927911377E-1,9.749675446E0
3.897816417E0,1.038839722E-1,2.830613708E-1,9.762997742E0
3.907830417E0,1.032852173E-1,3.028202820E-1,9.792935486E0
3.917843417E0,9.370513916E-2,2.990780640E-1,9.794132996E0
3.927856417E0,7.005432129E-2,3.071612549E-1,9.781110077E0
3.937870417E0,8.741821289E-2,3.055146790E-1,9.787846069E0
3.947883417E0,1.196012878E-1,3.056643677E-1,9.791438599E0
3.957896417E0,1.366658020E-1,3.061134338E-1,9.759704590E0
3.967910417E0,1.282832336E-1,2.971321106E-1,9.757159882E0
3.977923417E0,1.407073975E-1,2.848576355E-1,9.752519531E0
3.987936417E0,1.281335449E-1,2.998265076E-1,9.768985291E0
3.997950417E0,1.077758789E-1,2.996768188E-1,9.778715057E0
4.007963417E0,9.041198730E-2,3.034190369E-1,9.774224396E0
4.017976417E0,9.580078125E-2,2.987786865E-1,9.791887665E0
4.027990417E0,9.744735718E-2,3.109034729E-1,9.779463501E0
