"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.967827292E0,5.875150673E-4,-1.184438588E-3,-1.343265176E-4
2.977840292E0,3.872453235E-4,-1.046753256E-3,-1.596268266E-4
2.987853292E0,1.231157221E-3,-1.088147983E-4,-1.308159437E-3
2.997867292E0,-8.229389787E-4,4.174257629E-4,1.299474388E-4
3.007880292E0,3.724559210E-4,-1.056054607E-3,-9.075328708E-4
3.017893292E0,-1.559155062E-4,7.429104298E-4,-1.344173215E-4
3.027907292E0,-6.069880910E-4,-3.034188412E-4,6.017673295E-4
3.037920292E0,-8.453410119E-4,1.030292362E-3,1.494192751E-3
3.047933292E0,-2.665920183E-4,1.738234423E-4,1.408301061E-3
3.057947292E0,5.113170482E-4,5.642427132E-4,-7.909373380E-4
3.067960292E0,1.207922120E-3,-9.303053375E-4,-1.362266019E-3
3.077973292E0,2.867449075E-5,3.381583374E-4,4.734378308E-6
3.087987292E0,3.218506463E-4,8.895760402E-6,-2.843933180E-4
3.098000292E0,-1.673721708E-4,-4.947080743E-4,-2.202112228E-4
3.108013292E0,8.080014959E-5,-7.614237256E-5,5.590242799E-4
3.118027292E0,3.153132275E-5,1.214958029E-3,1.000043936E-3
3.128040292E0,-6.616259925E-4,3.669876605E-5,-7.013855502E-4
3.138053292E0,-1.418762375E-3,-3.691669554E-4,-1.011909917E-3
3.148067292E0,7.152501494E-4,-6.327275187E-4,1.194603043E-3
3.158080292E0,-4.046089016E-4,-7.568309084E-4,6.012506783E-4
3.168094292E0,4.711830989E-4,4.568232689E-4,2.793974709E-4
3.178107292E0,-2.380167134E-4,-1.278758748E-3,1.845602645E-3
3.188120292E0,-6.632115692E-4,4.291369114E-4,-2.498243470E-3
3.198134292E0,-2.645002678E-5,9.837234393E-5,-3.083259799E-4
3.208147292E0,-4.787151702E-4,-6.328055169E-4,2.409366425E-4
3.218160292E0,7.023965009E-4,1.094175968E-4,1.661018468E-4
3.228174292E0,1.224450767E-3,2.308570780E-3,-1.917891204E-4
3.238187292E0,-1.114070881E-3,5.261171609E-4,-1.845988445E-4
3.248200292E0,-6.443485618E-4,-6.341258995E-5,1.468781848E-4
3.258214292E0,3.085304052E-4,-1.299919095E-4,2.277502790E-5
3.268227292E0,1.011078246E-3,-1.543910708E-3,5.507797468E-4
3.278240292E0,-5.830898881E-4,-9.135403670E-4,9.324108250E-4
3.288254292E0,9.324094281E-4,-6.412896328E-4,1.077072928E-3
3.298267292E0,1.295131631E-3,-7.430277765E-5,-6.366712041E-4
3.308280292E0,-6.849709898E-4,-6.903505418E-4,5.228670780E-4
3.318294292E0,-4.615318030E-4,-7.263028529E-4,-3.842054866E-4
3.328307292E0,-9.861136787E-4,-2.042238368E-3,-2.026190050E-4
3.338321292E0,3.305533901E-4,1.370070037E-3,9.505297057E-4
3.348334292E0,-1.516658813E-5,-9.309593588E-4,-4.233852960E-4
3.358347292E0,-2.282196656E-4,-2.015847713E-5,1.252808375E-3
3.368361292E0,1.463138964E-3,1.012089197E-3,2.477716189E-4
3.378374292E0,-3.486098722E-4,5.484330468E-4,-9.080404416E-4
3.388387292E0,-1.543308608E-4,5.259127356E-4,3.564073704E-4
3.398401292E0,2.976073883E-4,-8.062003180E-4,9.548196103E-4
3.408414292E0,-1.787371002E-4,-2.512875944E-4,-2.597351559E-4
3.418427292E0,-1.473114826E-4,-4.169358872E-4,-3.561414778E-4
3.428441292E0,-4.546022974E-4,3.105681390E-5,-1.805135980E-4
3.438454292E0,2.977410331E-4,8.840672672E-4,-6.055538543E-4
3.448467292E0,-1.411179546E-3,4.216313828E-4,2.636807039E-4
3.458481292E0,-2.274042927E-4,1.361993374E-3,1.484740060E-3
3.468494292E0,9.607635438E-4,9.398318361E-4,-5.034599453E-4
3.478507292E0,-2.014399506E-4,-3.462086897E-4,1.441446366E-3
3.488521292E0,3.786198795E-4,-4.157770891E-4,8.040799294E-4
3.498534292E0,-1.795790158E-4,1.061744522E-3,-7.898220792E-4
3.508548292E0,-2.616299316E-4,-1.730828313E-3,-1.529511530E-3
3.518561292E0,8.630231023E-4,-1.566337887E-4,1.261481317E-3
3.528574292E0,-2.870336175E-6,1.138740918E-3,-3.486531787E-4
3.538588292E0,1.569460146E-3,4.367316142E-4,3.349804319E-4
3.548601292E0,-4.952824675E-4,4.232316278E-4,8.900777902E-4
3.558614292E0,-4.934184253E-4,-5.618717987E-4,-3.078118898E-4
3.568628292E0,1.097610220E-5,7.258597761E-4,1.249466324E-3
3.578641292E0,-9.882422164E-4,-1.184425550E-3,-9.258035570E-4
3.588654292E0,-2.547958866E-4,-9.819206316E-4,-1.105107367E-4
3.598668292E0,1.112470869E-3,-6.650041323E-4,5.233217962E-4
3.608681292E0,-5.072192289E-4,-3.058605362E-4,-1.836684532E-4
3.618694292E0,-2.526212484E-4,-2.422106918E-4,-1.783422194E-4
3.628708292E0,-8.658831939E-5,3.469025251E-4,1.583650243E-3
3.638721292E0,-2.740747295E-4,-2.594990656E-4,2.315633465E-4
3.648734292E0,-1.994483173E-4,8.360825013E-4,2.036688849E-3
3.658748292E0,1.752915327E-3,-1.697382424E-3,-4.051635042E-4
3.668761292E0,8.174842224E-4,-4.505147226E-4,6.593575235E-4
3.678774292E0,-4.724413157E-5,1.669361489E-3,-1.166239381E-3
3.688788292E0,-5.181655288E-4,-2.991775982E-4,7.251473144E-4
3.698801292E0,-6.513237022E-4,-1.186151057E-4,-1.405115239E-3
3.708815292E0,-5.665766075E-4,2.388842404E-7,-1.574410126E-4
3.718828292E0,-9.857583791E-4,-3.837700933E-5,2.076786477E-4
3.728841292E0,-6.529483944E-4,-2.311600838E-4,8.008372970E-5
3.738855292E0,2.237642184E-4,-4.793447442E-5,-9.761257097E-4
3.748868292E0,-5.382648669E-4,-5.810551811E-4,2.907558810E-4
3.758881292E0,3.432412632E-4,-1.823802013E-4,-4.450757988E-4
